Date,Test_number,spread,policy,Infected
2020-01-26,23,0.035,0,1
2020-01-27,9,0.035,0,1
2020-01-28,55,0,0,0
2020-01-29,71,0,0,0
2020-01-30,57,0,0,0
2020-01-31,57,0,0,0
2020-02-01,119,0.035,0,8
2020-02-02,55,0.035,0,3
2020-02-03,61,0,0,0
2020-02-04,116,0,0,1
2020-02-05,105,0.07,0,2
2020-02-06,166,0.035,0,5
2020-02-07,466,0,0,1
2020-02-08,745,0,0,0
2020-02-09,498,0.105,0,3
2020-02-10,512,0.035,0,0
2020-02-11,1214,0,0,1
2020-02-12,1299,0,0,0
2020-02-13,887,0,0,0
2020-02-14,731,0,0,0
2020-02-15,492,0,0,0
2020-02-16,426,0,0,1
2020-02-17,556,0,0,1
2020-02-18,1053,0.008,0,1
2020-02-19,1381,0,0,20
2020-02-20,1976,0.035,0,53
2020-02-21,3098,0.07,0,100
2020-02-22,4957,0.191,0,229
2020-02-23,4424,0.385,0,169
2020-02-24,6346,0.288,0,231
2020-02-25,7404,0.21,0,144
2020-02-26,12965,0.288,0,284
2020-02-27,12594,0.374,0,515
2020-02-28,13944,0.226,0,561
2020-02-29,12075,0.331,0,813
2020-03-01,4280,0.07,0,586
2020-03-02,10194,0.07,0,476
2020-03-03,15660,0.28,0,600
2020-03-04,10340,0.35,0,516
2020-03-05,9396,0.358,0,438
2020-03-06,17681,0.401,0,518
2020-03-07,12966,0.183,0,483
2020-03-08,9962,0.285,0,367
2020-03-09,7852,0.339,0,248
2020-03-10,13395,0.35,0,131
2020-03-11,12009,0.175,0,242
2020-03-12,12489,0.129,0,114
2020-03-13,13539,0.444,0,110
2020-03-14,12581,0.269,0,107
2020-03-15,6801,0.484,0,76
2020-03-16,6218,0.831,0,74
2020-03-17,12128,0.444,0,84
2020-03-18,8838,0.619,0,93
2020-03-19,11225,0.428,0,152
2020-03-20,9553,0.312,0,87
2020-03-21,10698,0.398,0,147
2020-03-22,4173,0.336,1.5,98
2020-03-23,6192,0.258,1.5,64
2020-03-24,10470,0.759,1.5,76
2020-03-25,9214,0.436,1.5,100
2020-03-26,6942,0.374,1.5,104
2020-03-27,11928,0.53,1.5,91
2020-03-28,10818,0.565,1.5,146
2020-03-29,6111,0.358,1.5,105
2020-03-30,975,0.339,1.5,78
2020-03-31,15245,0.589,1.5,125
2020-04-01,10882,0.538,1.5,101
2020-04-02,10107,0.497,1.5,89
2020-04-03,11444,0.514,1.5,86
2020-04-04,11665,0.374,1.5,94
2020-04-05,6120,0.137,1.5,81
2020-04-06,5524,0.199,1.5,47
2020-04-07,10453,0.172,1.5,47
2020-04-08,8646,0.207,1.5,53
2020-04-09,8669,0.253,1.5,39
2020-04-10,8313,0.226,1.5,27
2020-04-11,7398,0.156,1.5,30
2020-04-12,4110,0.059,1.5,32
2020-04-13,4097,0.218,1.5,25
2020-04-14,8668,0.094,1.5,27
2020-04-15,7087,0.051,1.5,27
2020-04-16,4201,0.035,1.5,22
2020-04-17,7666,0.086,1.5,22
2020-04-18,8353,0,1.5,18
2020-04-19,4267,0.016,1.5,8
2020-04-20,3913,0.043,1,13
2020-04-21,7970,0,1,9
2020-04-22,6934,0.008,1,11
2020-04-23,6004,0.035,1,8
2020-04-24,5543,0.07,1,6
2020-04-25,5631,0.164,1,10
2020-04-26,3114,0.078,1,10
2020-04-27,3365,0.016,1,10
2020-04-28,6840,0.07,1,14
2020-04-29,5674,0.035,1,9
2020-04-30,5680,0.008,1,4
2020-05-01,3179,0,1,9
2020-05-02,4487,0.043,1,6
2020-05-03,3398,0.035,1,13
2020-05-04,2940,0,1,8
2020-05-05,6313,0,1,3
2020-05-06,2856,0.035,1,2
2020-05-07,6289,0.043,1,4
2020-05-08,5463,0.113,1,12
2020-05-09,5149,0.183,1,18
2020-05-10,3822,0.086,1,34
2020-05-11,4571,0.172,1,35
2020-05-12,12371,0.07,1,27
2020-05-13,15004,0.156,1,26
2020-05-14,15535,0.14,1,29
2020-05-15,15236,0.078,1,27
2020-05-16,13879,0.035,1,19
2020-05-17,6995,0.043,1,13
2020-05-18,5543,0.07,1,15
2020-05-19,12350,0.199,1,13
2020-05-20,10827,0.14,1,32
2020-05-21,12239,0.078,1,12
2020-05-22,13714,0.374,1,20
2020-05-23,11979,0.218,1,23
2020-05-24,5844,0.21,1,25
2020-05-25,6132,0.07,1,16
2020-05-26,13019,0.148,1,19
2020-05-27,13361,0.681,1,40
2020-05-28,15711,0.519,1,79
2020-05-29,16396,0.309,1,58
2020-05-30,17742,0.269,1,39
2020-05-31,7894,0.366,1,27
2020-06-01,10534,0.425,1,35
2020-06-02,18422,0.293,1,38
2020-06-03,16952,0.355,1,49
2020-06-04,16967,0.258,1,39
2020-06-05,17063,0.164,1,39
2020-06-06,14294,0.611,1,51
2020-06-07,7407,0.253,1,57
2020-06-08,5407,0.382,1,38
2020-06-09,17745,0.74,1,38
2020-06-10,15925,0.293,1,50
2020-06-11,14871,0.495,1,45
2020-06-12,14543,0.463,1,55
2020-06-13,13169,0.304,1,49
2020-06-14,5590,0.172,1,33
2020-06-15,5355,0.121,1,37
2020-06-16,14014,0.444,1,34
2020-06-17,13013,0.355,1,43
2020-06-18,12830,0.277,1,59
2020-06-19,12302,0.325,1,49
2020-06-20,12771,0.293,1,67
2020-06-21,5514,0.067,1,48
2020-06-22,5586,0.094,1,17
2020-06-23,13900,0.207,1,46
2020-06-24,12534,0.183,1,51
2020-06-25,11853,0.129,1,28
2020-06-26,11798,0.306,1,39
2020-06-27,11414,0.487,1,51
2020-06-28,7853,0.471,1,62
2020-06-29,8217,0.218,1,42
2020-06-30,13769,0.371,1,42
2020-07-01,11415,0.18,1,51
2020-07-02,10677,0.53,1,54
2020-07-03,11736,0.387,1,63
2020-07-04,11699,0.118,1,63
2020-07-05,6473,0.199,1,59
2020-07-06,5693,0.277,1,48
2020-07-07,14354,0.387,1,44
2020-07-08,13478,0.118,1,62
2020-07-09,11987,0.166,1,50
2020-07-10,13074,0.285,1,45
2020-07-11,12016,0.285,1,35
2020-07-12,5159,0.172,1,44
2020-07-13,6106,0.242,1,62
2020-07-14,12271,0.196,1,33
2020-07-15,10661,0.379,1,39
2020-07-16,9971,0.317,1,61
2020-07-17,9609,0.161,1,60
2020-07-18,9148,0.043,1,39
2020-07-19,5061,0.008,1,34
2020-07-20,4868,0.175,1,26
2020-07-21,12152,0.43,1,45
2020-07-22,9618,0.438,1,63
2020-07-23,8724,0.164,1,59
2020-07-24,9432,0.239,1,41
2020-07-25,8194,0.137,1,113
2020-07-26,4234,0.161,1,58
2020-07-27,4023,0.067,1,25
2020-07-28,10702,0.172,1,28
